"Year","individuals"
1986,1
1986,1
1986,1
1986,1
1987,1
1987,1
1987,0.9
1987,1
1988,1
1988,1
1988,1
1988,0.961538461538462
1989,0.952380952380952
1989,1
1989,1.03846153846154
1989,1
1990,1
1990,1
1990,0.9
1990,1
1991,1.06818181818182
1991,1.03703703703704
1991,1
1991,1.03703703703704
1992,1
1992,1
1992,1.04166666666667
1992,0.952380952380952
1993,0.894736842105263
1993,0.5
1993,1
1993,0.916666666666667
1994,1.31428571428571
1994,1
1994,1.4375
1994,1.26315789473684
1995,1
1995,1.04166666666667
1995,1
1995,1
1996,1
1996,1.16666666666667
1996,1
1996,1.05555555555556
1997,1.10526315789474
1997,1.07692307692308
1997,1.21428571428571
1997,1.07692307692308
1998,1.5
1998,1
1998,1
1998,1
1999,0.527777777777778
1999,0.567164179104478
1999,0.691176470588235
1999,0.466666666666667
2000,0.491525423728814
2000,0.521739130434783
2000,0.240740740740741
2000,0.285714285714286
2001,0.0465116279069767
2001,0.0638297872340425
2001,0.05
2001,0.125
2002,0.285714285714286
2002,0.181818181818182
2002,0.3
2002,0.1
2003,0.410714285714286
2003,0.970588235294118
2003,0.564516129032258
2003,0.830985915492958
2004,0.73109243697479
2004,0.710843373493976
2004,0.773333333333333
2004,0.586206896551724
2005,0.384615384615385
2005,0.302325581395349
2005,0.121212121212121
2005,0.348837209302326
2006,0.0888888888888889
2006,0.0869565217391304
2006,0.133333333333333
2006,0.120689655172414
2007,0.392156862745098
2007,0.454545454545455
2007,0.390243902439024
2007,0.346153846153846
2008,0.159090909090909
2008,0.1875
2008,0.310344827586207
2008,0.321428571428571
2009,0.36734693877551
2009,0.111111111111111
2009,0.137931034482759
2009,0.0208333333333333
2010,0.153846153846154
2010,0.166666666666667
2010,0.153846153846154
2010,0.151515151515152
2011,0.0769230769230769
2011,0.12
2011,0.0851063829787234
2011,0.125
2012,0.2
2012,0.321428571428571
2012,0.127272727272727
2012,0.132075471698113
2013,0.117647058823529
2013,0.208333333333333
2013,0.170731707317073
2013,0.156862745098039
2014,0.142857142857143
2014,0.0769230769230769
2014,0.25531914893617
2014,0.267857142857143
2015,0.15
2015,0.0769230769230769
2015,0.111111111111111
2015,0.236842105263158
2016,0.111111111111111
2016,0.0232558139534884
2016,0.0256410256410256
2016,0.0227272727272727
2017,0.583333333333333
2017,0.560975609756098
2017,0.6
2017,0.486486486486487
2018,0.611111111111111
2018,1
2018,0.551724137931034
2018,0.685714285714286
