"Year","biomass"
1986,2.115
1986,3.91846153846154
1986,4.80571428571429
1986,1.28555555555556
1987,3.32166666666667
1987,6.56615384615385
1987,1.129
1987,9.515
1988,5.257
1988,5.53
1988,3.17222222222222
1988,2.30884615384615
1989,1.76952380952381
1989,4.924
1989,3.25384615384615
1989,5.43565217391304
1990,1.356
1990,2.61090909090909
1990,1.185
1990,5.033
1991,2.17272727272727
1991,1.98037037037037
1991,1.58961538461538
1991,1.96703703703704
1992,3.26703703703704
1992,2.46161290322581
1992,1.02708333333333
1992,2.14952380952381
1993,4.35631578947368
1993,1.395
1993,3.42076923076923
1993,3.66333333333333
1994,7.54314285714286
1994,7.796
1994,10.98
1994,8.90736842105263
1995,5.39181818181818
1995,8.13541666666667
1995,3.86875
1995,4.11620689655172
1996,1.935
1996,0.985
1996,7.88571428571429
1996,2.52777777777778
1997,2.55947368421053
1997,2.20846153846154
1997,3.04071428571429
1997,1.99538461538462
1998,0.785
1998,3.09428571428571
1998,1.924
1998,4.2
1999,0.959027777777778
1999,0.604626865671642
1999,1.36632352941176
1999,1.193
2000,0.903559322033898
2000,0.970434782608696
2000,0.166111111111111
2000,0.684761904761905
2001,0.0262790697674419
2001,0.232553191489362
2001,0.289
2001,0.32175
2002,1.15571428571429
2002,0.775454545454546
2002,2.379
2002,0.446
2003,1.50285714285714
2003,6.22235294117647
2003,2.71822580645161
2003,3.86859154929577
2004,4.04243697478992
2004,3.72084337349398
2004,3.51053333333333
2004,3.87913793103448
2005,1.22076923076923
2005,1.80953488372093
2005,0.511212121212121
2005,1.16511627906977
2006,0.954
2006,0.231304347826087
2006,1.27266666666667
2006,0.253448275862069
2007,1.17137254901961
2007,1.59477272727273
2007,0.625365853658537
2007,0.739038461538462
2008,0.414545454545455
2008,0.4884375
2008,0.552413793103448
2008,1.72464285714286
2009,0.250204081632653
2009,0.0668888888888889
2009,0.117931034482759
2009,0.0275
2010,0.684615384615385
2010,0.872666666666667
2010,0.706153846153846
2010,0.129090909090909
2011,0.165
2011,0.1796
2011,0.339574468085106
2011,0.498928571428571
2012,0.878888888888889
2012,1.18642857142857
2012,1.38672727272727
2012,0.472641509433962
2013,0.220196078431373
2013,1.40604166666667
2013,0.457560975609756
2013,0.915294117647059
2014,0.495
2014,0.622115384615385
2014,0.905744680851064
2014,0.360892857142857
2015,0.35075
2015,0.205641025641026
2015,0.516666666666667
2015,0.676842105263158
2016,0.285111111111111
2016,0.0406976744186047
2016,0.130512820512821
2016,0.03
2017,0
2017,0.489512195121951
2017,0
2017,0.0362162162162162
2018,0.101111111111111
2018,0.140769230769231
2018,1.96172413793103
2018,0.0434285714285714
